Country,Year,Population
Germany,2010,81776930
Germany,2011,80274983
Germany,2012,80425823
Germany,2013,80645605
Germany,2014,80982500
Germany,2015,81686611
Germany,2016,82348669
Germany,2017,82657002
Germany,2018,82927922
France,2010,65027507
France,2011,65342780
France,2012,65659809
France,2013,65998687
France,2014,66316100
France,2015,66593366
France,2016,66859768
France,2017,66865144
France,2018,66987244
United States,2010,309326085
United States,2011,311580009
United States,2012,313874218
United States,2013,316057727
United States,2014,318386421
United States,2015,320742673
United States,2016,323071342
United States,2017,325147121
United States,2018,327167434
Italy,2010,59277417
Italy,2011,59379449
Italy,2012,59539717
Italy,2013,60233948
Italy,2014,60789140
Italy,2015,60730582
Italy,2016,60627498
Italy,2017,60536709
Italy,2018,60431283
Spain,2010,46576897
Spain,2011,46742697
Spain,2012,46773055
Spain,2013,46620045
Spain,2014,46480882
Spain,2015,46444832
Spain,2016,46483569
Spain,2017,46593236
Spain,2018,46723749
